Time	Timer	SetPoint [C]	 Temperatura [C]	Sinal de Controle
12:08:01 AM	1.747009	48	93.03	255
12:08:01 AM	1.782990	48	93.03	255
12:08:01 AM	1.809998	48	93.47	255
12:08:01 AM	1.869995	48	93.03	255
12:08:01 AM	1.920013	48	93.47	255
12:08:01 AM	1.967010	48	93.91	255
12:08:01 AM	2.015991	48	93.91	255
12:08:01 AM	2.075989	48	93.91	255
12:08:02 AM	2.126007	48	93.91	255
12:08:02 AM	2.175995	48	93.91	255
12:08:02 AM	2.226013	48	93.91	255
12:08:02 AM	2.285004	48	93.91	255
12:08:02 AM	2.332001	48	93.47	255
12:08:02 AM	2.382996	48	93.03	255
12:08:02 AM	2.442993	48	93.03	255
12:08:02 AM	2.498993	48	93.03	255
12:08:02 AM	2.549011	48	93.03	255
12:08:02 AM	2.600006	48	92.56	255
12:08:02 AM	2.649017	48	92.56	255
12:08:02 AM	2.709991	48	92.56	255
12:08:02 AM	2.759003	48	92.13	255
12:08:02 AM	2.816010	48	92.13	255
12:08:02 AM	2.865997	48	91.68	255
12:08:02 AM	2.916016	48	91.68	255
12:08:02 AM	2.976013	48	90.83	255
12:08:02 AM	3.026001	48	90.83	255
12:08:02 AM	3.075989	48	90.83	255
12:08:03 AM	3.132996	48	90.39	255
12:08:03 AM	3.183014	48	90	255
12:08:03 AM	3.243011	48	89.58	255
12:08:03 AM	3.300018	48	89.58	255
12:08:03 AM	3.359009	48	89.16	255
12:08:03 AM	3.399017	48	88.78	255
12:08:03 AM	3.459015	48	88.38	255
12:08:03 AM	3.509003	48	87.98	255
12:08:03 AM	3.558990	48	87.59	255
12:08:03 AM	3.609009	48	87.23	255
12:08:03 AM	3.666016	48	86.47	255
12:08:03 AM	3.726013	48	86.47	255
12:08:03 AM	3.776001	48	86.1	255
12:08:03 AM	3.821014	48	85.73	255
12:08:03 AM	3.881012	48	85.37	255
12:08:03 AM	3.933014	48	84.66	255
12:08:03 AM	3.981995	48	84.66	255
12:08:03 AM	4.032990	48	84.31	255
12:08:03 AM	4.093018	48	83.63	255
12:08:04 AM	4.143005	48	83.29	255
12:08:04 AM	4.199005	48	82.96	255
12:08:04 AM	4.248993	48	82.63	255
12:08:04 AM	4.299011	48	82.31	255
12:08:04 AM	4.359009	48	81.96	255
12:08:04 AM	4.408997	48	81.34	255
12:08:04 AM	4.466003	48	80.7	255
12:08:04 AM	4.515991	48	80.7	255
12:08:04 AM	4.566010	48	80.1	255
12:08:04 AM	4.615997	48	79.78	255
12:08:04 AM	4.675995	48	79.49	255
12:08:04 AM	4.733002	48	78.89	255
12:08:04 AM	4.782990	48	78.89	255
12:08:04 AM	4.833008	48	78.31	255
12:08:04 AM	4.882996	48	77.74	255
12:08:04 AM	4.942993	48	77.45	255
12:08:04 AM	4.997009	48	76.9	255
12:08:04 AM	5.049011	48	76.61	255
12:08:04 AM	5.101013	48	76.08	255
12:08:05 AM	5.149017	48	75.81	255
12:08:05 AM	5.200989	48	75.29	255
12:08:05 AM	5.251007	48	74.76	255
12:08:05 AM	5.313995	48	74.5	255
12:08:05 AM	5.365997	48	74.24	255
12:08:05 AM	5.412994	48	73.73	255
12:08:05 AM	5.466003	48	73.48	255
12:08:05 AM	5.526001	48	72.99	255
12:08:05 AM	5.575989	48	72.74	255
12:08:05 AM	5.632996	48	72.5	255
12:08:05 AM	5.683014	48	72.25	255
12:08:05 AM	5.733002	48	71.54	255
12:08:05 AM	5.792999	48	71.3	255
12:08:05 AM	5.843018	48	70.84	255
12:08:05 AM	5.899017	48	70.38	255
12:08:05 AM	5.949005	48	70.14	255
12:08:05 AM	5.998993	48	69.69	255
12:08:05 AM	6.058990	48	69.25	255
12:08:05 AM	6.109009	48	69.04	255
12:08:06 AM	6.166016	48	68.59	255
12:08:06 AM	6.216003	48	68.17	255
12:08:06 AM	6.268005	48	67.74	255
12:08:06 AM	6.317993	48	67.33	255
12:08:06 AM	6.377991	48	66.91	255
12:08:06 AM	6.425018	48	66.71	255
12:08:06 AM	6.475006	48	66.3	255
12:08:06 AM	6.526001	48	66.1	255
12:08:06 AM	6.585999	48	65.49	255
12:08:06 AM	6.632996	48	65.1	255
12:08:06 AM	6.692993	48	64.91	255
12:08:06 AM	6.743011	48	64.52	255
12:08:06 AM	6.799011	48	64.13	255
12:08:06 AM	6.848999	48	63.76	255
12:08:06 AM	6.899017	48	63.37	255
12:08:06 AM	6.959015	48	63.19	255
12:08:06 AM	7.009003	48	62.83	255
12:08:06 AM	7.058990	48	62.28	255
12:08:07 AM	7.119019	48	62.1	255
12:08:07 AM	7.169006	48	61.56	255
12:08:07 AM	7.218994	48	61.38	255
12:08:07 AM	7.278992	48	60.68	255
12:08:07 AM	7.333008	48	60.68	255
12:08:07 AM	7.382996	48	60.34	255
12:08:07 AM	7.433014	48	60	255
12:08:07 AM	7.493011	48	59.66	255
12:08:07 AM	7.542999	48	59.49	255
12:08:07 AM	7.598999	48	59.16	255
12:08:07 AM	7.649017	48	59	255
12:08:07 AM	7.699005	48	58.67	255
12:08:07 AM	7.759003	48	58.34	255
