Time	Timer	SetPoint [C]	 Temperatura [C]	 Sinal de Controle
11:27:36 PM	1.750000	48	73.23	-3.24
11:27:36 PM	1.781250	48	72.74	6.52
11:27:36 PM	1.820313	48	72.74	8.37
11:27:36 PM	1.859375	48	72.25	10.28
11:27:36 PM	1.921875	48	72.25	12.1
11:27:36 PM	1.960938	48	71.78	13.98
11:27:36 PM	2.015625	48	71.54	15.76
11:27:36 PM	2.070313	48	71.07	17.55
11:27:36 PM	2.117188	48	70.84	19.28
11:27:36 PM	2.164063	48	70.84	21.03
11:27:36 PM	2.218750	48	70.6	22.79
11:27:37 PM	2.265625	48	70.38	24.51
11:27:37 PM	2.312500	48	70.14	26.21
11:27:37 PM	2.375000	48	69.93	27.9
11:27:37 PM	2.429688	48	69.69	29.57
11:27:37 PM	2.476563	48	69.69	31.22
11:27:37 PM	2.523438	48	69.25	32.89
11:27:37 PM	2.578125	48	69.04	34.49
11:27:37 PM	2.625000	48	69.04	36.09
11:27:37 PM	2.679688	48	68.82	37.72
11:27:37 PM	2.726563	48	68.59	39.3
11:27:37 PM	2.773438	48	68.39	40.87
11:27:37 PM	2.828125	48	68.17	42.42
11:27:37 PM	2.875000	48	67.95	43.95
11:27:37 PM	2.937500	48	67.74	45.47
11:27:37 PM	2.984375	48	67.54	46.97
11:27:37 PM	3.039063	48	67.33	48.46
11:27:37 PM	3.085938	48	66.91	49.93
11:27:37 PM	3.140625	48	66.71	51.34
11:27:37 PM	3.195313	48	66.5	52.77
11:27:37 PM	3.234375	48	66.71	54.18
11:27:38 PM	3.296875	48	66.5	55.64
11:27:38 PM	3.343750	48	66.5	57.05
11:27:38 PM	3.398438	48	66.3	58.48
11:27:38 PM	3.445313	48	66.1	59.87
11:27:38 PM	3.500000	48	65.9	61.25
11:27:38 PM	3.546875	48	65.7	62.61
11:27:38 PM	3.601563	48	65.7	63.95
11:27:38 PM	3.648438	48	65.29	65.32
11:27:38 PM	3.703125	48	65.7	66.61
11:27:38 PM	3.750000	48	65.49	68.02
11:27:38 PM	3.804688	48	65.49	69.35
11:27:38 PM	3.851563	48	65.29	70.7
11:27:38 PM	3.898438	48	65.29	72.02
11:27:38 PM	3.953125	48	65.1	73.35
11:27:38 PM	4.000000	48	64.91	74.65
11:27:38 PM	4.062500	48	64.91	75.94
11:27:38 PM	4.109375	48	64.91	77.25
11:27:38 PM	4.156250	48	64.7	78.55
11:27:38 PM	4.210938	48	64.52	79.82
11:27:39 PM	4.257813	48	64.33	81.08
11:27:39 PM	4.312500	48	64.33	82.32
11:27:39 PM	4.359375	48	64.13	83.58
11:27:39 PM	4.406250	48	64.13	84.8
11:27:39 PM	4.460938	48	63.76	86.05
11:27:39 PM	4.515625	48	63.94	87.23
11:27:39 PM	4.570313	48	63.76	88.48
11:27:39 PM	4.617188	48	63.76	89.68
11:27:39 PM	4.671875	48	63.57	90.89
11:27:39 PM	4.718750	48	63.57	92.08
11:27:39 PM	4.765625	48	63.37	93.28
11:27:39 PM	4.820313	48	63.37	94.45
11:27:39 PM	4.867188	48	63.37	95.63
11:27:39 PM	4.921875	48	63.19	96.82
11:27:39 PM	4.976563	48	63	97.97
11:27:39 PM	5.031250	48	63.19	99.12
11:27:39 PM	5.078125	48	63.19	100.31
11:27:39 PM	5.125000	48	63.19	101.48
11:27:39 PM	5.187500	48	63.19	102.66
11:27:39 PM	5.234375	48	63	103.83
11:27:40 PM	5.289063	48	62.83	104.97
11:27:40 PM	5.335938	48	63	106.1
11:27:40 PM	5.382813	48	63	107.28
11:27:40 PM	5.445313	48	62.83	108.44
11:27:40 PM	5.500000	48	62.83	109.56
11:27:40 PM	5.546875	48	62.64	110.71
11:27:40 PM	5.593750	48	62.64	111.82
11:27:40 PM	5.648438	48	62.64	112.95
11:27:40 PM	5.703125	48	62.64	114.08
11:27:40 PM	5.757813	48	62.46	115.21
11:27:40 PM	5.804688	48	62.46	116.31
11:27:40 PM	5.859375	48	62.28	117.43
11:27:40 PM	5.906250	48	62.1	118.51
11:27:40 PM	5.968750	48	62.1	119.58
11:27:40 PM	6.015625	48	62.1	120.67
11:27:40 PM	6.062500	48	61.92	121.76
11:27:40 PM	6.125000	48	61.92	122.81
11:27:40 PM	6.171875	48	61.74	123.89
11:27:40 PM	6.218750	48	61.74	124.93
11:27:41 PM	6.273438	48	61.56	125.99
11:27:41 PM	6.320313	48	61.56	127.02
11:27:41 PM	6.382813	48	61.56	128.07
11:27:41 PM	6.429688	48	61.56	129.12
11:27:41 PM	6.484375	48	61.38	130.16
11:27:41 PM	6.531250	48	61.38	131.18
11:27:41 PM	6.585938	48	61.03	132.21
11:27:41 PM	6.640625	48	61.2	133.18
11:27:41 PM	6.695313	48	61.03	134.22
11:27:41 PM	6.742188	48	61.03	135.21
11:27:41 PM	6.789063	48	61.03	136.21
11:27:41 PM	6.843750	48	61.03	137.22
11:27:41 PM	6.898438	48	61.03	138.23
11:27:41 PM	6.953125	48	60.85	139.23
11:27:41 PM	7.000000	48	60.68	140.21
11:27:41 PM	7.054688	48	60.85	141.17
11:27:41 PM	7.109375	48	60.85	142.18
11:27:41 PM	7.156250	48	60.68	143.17
11:27:41 PM	7.210938	48	60.68	144.13
11:27:42 PM	7.257813	48	60.68	145.11
11:27:42 PM	7.320313	48	60.51	146.09
11:27:42 PM	7.367188	48	60.34	147.04
11:27:42 PM	7.421875	48	60.34	147.98
11:27:42 PM	7.468750	48	60.17	148.93
11:27:42 PM	7.515625	48	60	149.85
11:27:42 PM	7.578125	48	59.66	150.76
11:27:42 PM	7.632813	48	59.66	151.62
11:27:42 PM	7.679688	48	59.49	152.52
11:27:42 PM	7.726563	48	59.32	153.39
11:27:42 PM	7.781250	48	59.32	154.25
11:27:42 PM	7.835938	48	59.16	155.12
11:27:42 PM	7.882813	48	59	155.97
11:27:42 PM	7.945313	48	59	156.8
11:27:42 PM	8.000000	48	58.67	157.65
11:27:42 PM	8.046875	48	58.82	158.44
11:27:42 PM	8.093750	48	58.5	159.29
11:27:42 PM	8.156250	48	58.34	160.06
11:27:42 PM	8.203125	48	58.01	160.84
11:27:43 PM	8.257813	48	58.17	161.58
11:27:43 PM	8.312500	48	58.01	162.38
11:27:43 PM	8.359375	48	57.86	163.14
11:27:43 PM	8.414063	48	57.69	163.88
11:27:43 PM	8.460938	48	57.53	164.61
11:27:43 PM	8.507813	48	57.21	165.33
11:27:43 PM	8.562500	48	57.05	166.01
11:27:43 PM	8.609375	48	56.89	166.69
11:27:43 PM	8.671875	48	56.74	167.36
11:27:43 PM	8.726563	48	56.58	168.02
11:27:43 PM	8.765625	48	56.43	168.66
11:27:43 PM	8.828125	48	56.28	169.3
11:27:43 PM	8.875000	48	56.12	169.92
11:27:43 PM	8.929688	48	55.97	170.53
11:27:43 PM	8.976563	48	55.97	171.13
11:27:43 PM	9.039063	48	55.82	171.75
11:27:43 PM	9.085938	48	55.67	172.33
11:27:43 PM	9.132813	48	55.51	172.91
11:27:43 PM	9.187500	48	55.37	173.47
11:27:43 PM	9.242188	48	55.06	174.02
11:27:44 PM	9.296875	48	55.06	174.54
11:27:44 PM	9.343750	48	54.77	175.08
11:27:44 PM	9.398438	48	54.77	175.57
11:27:44 PM	9.445313	48	54.47	176.09
11:27:44 PM	9.492188	48	54.47	176.56
11:27:44 PM	9.554688	48	54.18	177.06
11:27:44 PM	9.601563	48	54.18	177.51
11:27:44 PM	9.656250	48	53.89	177.98
11:27:44 PM	9.710938	48	53.74	178.41
11:27:44 PM	9.765625	48	53.6	178.83
11:27:44 PM	9.812500	48	53.6	179.25
11:27:44 PM	9.859375	48	53.46	179.68
11:27:44 PM	9.921875	48	53.32	180.09
11:27:44 PM	9.968750	48	53.17	180.48
11:27:44 PM	10.023440	48	53.03	180.87
11:27:44 PM	10.070310	48	52.89	181.24
11:27:44 PM	10.125000	48	52.74	181.6
11:27:44 PM	10.187500	48	52.6	181.95
11:27:44 PM	10.234380	48	52.33	182.29
11:27:45 PM	10.281250	48	52.33	182.59
11:27:45 PM	10.335940	48	52.19	182.93
11:27:45 PM	10.382810	48	52.19	183.24
11:27:45 PM	10.429690	48	51.91	183.56
11:27:45 PM	10.492190	48	51.91	183.83
11:27:45 PM	10.539060	48	51.77	184.13
11:27:45 PM	10.593750	48	51.63	184.41
11:27:45 PM	10.640630	48	51.49	184.67
11:27:45 PM	10.703130	48	51.36	184.93
11:27:45 PM	10.750000	48	51.22	185.17
11:27:45 PM	10.796880	48	51.09	185.41
11:27:45 PM	10.859380	48	50.95	185.63
11:27:45 PM	10.906250	48	50.82	185.84
11:27:45 PM	10.960940	48	50.82	186.05
11:27:45 PM	11.007810	48	50.55	186.26
11:27:45 PM	11.070310	48	50.68	186.43
11:27:45 PM	11.109380	48	50.42	186.65
11:27:45 PM	11.171880	48	50.29	186.81
11:27:45 PM	11.218750	48	50.29	186.97
11:27:46 PM	11.265630	48	50.29	187.15
11:27:46 PM	11.320310	48	50.15	187.32
11:27:46 PM	11.382810	48	50.15	187.48
11:27:46 PM	11.429690	48	50.02	187.64
11:27:46 PM	11.476560	48	49.88	187.78
11:27:46 PM	11.531250	48	49.75	187.91
11:27:46 PM	11.585940	48	49.75	188.04
11:27:46 PM	11.632810	48	49.49	188.17
11:27:46 PM	11.687500	48	49.37	188.26
11:27:46 PM	11.734380	48	49.23	188.35
11:27:46 PM	11.796880	48	49.11	188.43
11:27:46 PM	11.851560	48	48.98	188.5
11:27:46 PM	11.898440	48	48.85	188.56
11:27:46 PM	11.945310	48	48.85	188.61
11:27:46 PM	12.000000	48	48.72	188.68
11:27:46 PM	12.046880	48	48.72	188.72
11:27:46 PM	12.109380	48	48.59	188.77
11:27:46 PM	12.156250	48	48.59	188.81
11:27:46 PM	12.210940	48	48.46	188.85
11:27:47 PM	12.257810	48	48.34	188.87
11:27:47 PM	12.312500	48	48.21	188.88
11:27:47 PM	12.367190	48	48.21	188.89
11:27:47 PM	12.414060	48	48.08	188.9
11:27:47 PM	12.468750	48	48.08	188.89
11:27:47 PM	12.523440	48	47.71	188.9
11:27:47 PM	12.578130	48	47.71	188.84
11:27:47 PM	12.625000	48	47.71	188.81
11:27:47 PM	12.679690	48	47.58	188.79
11:27:47 PM	12.734380	48	47.58	188.75
11:27:47 PM	12.781250	48	47.33	188.71
11:27:47 PM	12.835940	48	47.21	188.63
11:27:47 PM	12.882810	48	47.21	188.56
11:27:47 PM	12.929690	48	47.08	188.5
11:27:47 PM	12.992190	48	46.96	188.41
11:27:47 PM	13.046880	48	46.84	188.32
11:27:47 PM	13.101560	48	46.6	188.21
11:27:47 PM	13.140630	48	46.47	188.08
11:27:47 PM	13.203130	48	46.35	187.94
11:27:48 PM	13.242190	48	46.23	187.8
11:27:48 PM	13.304690	48	46.11	187.65
11:27:48 PM	13.359380	48	45.87	187.49
11:27:48 PM	13.414060	48	45.74	187.3
11:27:48 PM	13.468750	48	45.63	187.11
11:27:48 PM	13.507810	48	45.27	186.92
11:27:48 PM	13.570310	48	45.39	186.67
11:27:48 PM	13.609380	48	45.27	186.48
11:27:48 PM	13.671880	48	45.27	186.25
11:27:48 PM	13.718750	48	44.91	186.04
11:27:48 PM	13.765630	48	44.91	185.76
11:27:48 PM	13.820310	48	44.91	185.52
11:27:48 PM	13.875000	48	44.8	185.29
11:27:48 PM	13.929690	48	44.57	185.02
11:27:48 PM	13.976560	48	44.57	184.73
11:27:48 PM	14.039060	48	44.44	184.47
11:27:48 PM	14.085940	48	44.33	184.18
11:27:48 PM	14.140630	48	44.21	183.88
11:27:48 PM	14.187500	48	44.21	183.58
11:27:48 PM	14.250000	48	44.1	183.28
11:27:49 PM	14.289060	48	44.1	182.97
11:27:49 PM	14.335940	48	43.98	182.67
11:27:49 PM	14.398440	48	43.86	182.34
11:27:49 PM	14.445310	48	43.86	182.01
11:27:49 PM	14.500000	48	43.75	181.69
11:27:49 PM	14.554690	48	43.64	181.35
11:27:49 PM	14.601560	48	43.64	181
11:27:49 PM	14.656250	48	43.52	180.66
11:27:49 PM	14.703130	48	43.41	180.3
11:27:49 PM	14.757810	48	43.41	179.94
11:27:49 PM	14.812500	48	43.41	179.58
11:27:49 PM	14.867190	48	43.18	179.23
11:27:49 PM	14.921880	48	43.18	178.83
11:27:49 PM	14.968750	48	43.18	178.46
11:27:49 PM	15.023440	48	43.07	178.08
11:27:49 PM	15.062500	48	42.95	177.69
11:27:49 PM	15.125000	48	42.95	177.29
11:27:49 PM	15.179690	48	42.84	176.9
11:27:49 PM	15.234380	48	42.84	176.48
11:27:50 PM	15.289060	48	42.73	176.08
11:27:50 PM	15.335940	48	42.73	175.67
11:27:50 PM	15.382810	48	42.73	175.26
11:27:50 PM	15.437500	48	42.61	174.85
11:27:50 PM	15.492190	48	42.61	174.42
11:27:50 PM	15.546880	48	42.5	174
11:27:50 PM	15.593750	48	42.5	173.57
11:27:50 PM	15.648440	48	42.39	173.14
11:27:50 PM	15.703130	48	42.39	172.7
11:27:50 PM	15.750000	48	42.39	172.26
11:27:50 PM	15.796880	48	42.39	171.83
11:27:50 PM	15.851560	48	42.28	171.39
11:27:50 PM	15.906250	48	42.28	170.94
11:27:50 PM	15.960940	48	42.17	170.5
11:27:50 PM	16.007810	48	42.17	170.03
11:27:50 PM	16.062500	48	42.05	169.58
11:27:50 PM	16.117190	48	42.05	169.11
11:27:50 PM	16.164060	48	42.05	168.65
11:27:50 PM	16.226560	48	41.94	168.19
11:27:51 PM	16.281250	48	41.83	167.71
11:27:51 PM	16.328130	48	41.83	167.22
11:27:51 PM	16.375000	48	41.61	166.74
