Time	Timer	SetPoint [C]	 Temperatura [C]	Sinal de Controle
12:00:18 AM	1.732000	48	88.78	0
12:00:18 AM	1.764999	48	88.38	255
12:00:18 AM	1.808001	48	88.38	255
12:00:18 AM	1.868000	48	88.38	255
12:00:18 AM	1.919001	48	88.38	255
12:00:18 AM	1.968000	48	88.38	255
12:00:18 AM	2.018000	48	87.98	255
12:00:18 AM	2.080000	48	87.98	255
12:00:18 AM	2.124001	48	87.98	255
12:00:18 AM	2.174000	48	87.59	255
12:00:19 AM	2.234001	48	87.59	255
12:00:19 AM	2.284000	48	87.59	255
12:00:19 AM	2.334000	48	87.59	255
12:00:19 AM	2.395000	48	87.59	255
12:00:19 AM	2.444000	48	87.59	255
12:00:19 AM	2.500999	48	87.59	255
12:00:19 AM	2.551001	48	87.23	255
12:00:19 AM	2.601000	48	87.23	255
12:00:19 AM	2.660999	48	87.23	255
12:00:19 AM	2.711000	48	86.85	255
12:00:19 AM	2.761000	48	86.85	255
12:00:19 AM	2.811001	48	86.85	255
12:00:19 AM	2.868000	48	86.47	255
12:00:19 AM	2.927999	48	86.47	255
12:00:19 AM	2.978001	48	86.1	255
12:00:19 AM	3.028999	48	86.1	255
12:00:19 AM	3.079000	48	85.37	255
12:00:19 AM	3.134001	48	85.37	255
12:00:19 AM	3.194000	48	85.01	255
12:00:20 AM	3.245001	48	85.01	255
12:00:20 AM	3.301001	48	84.66	255
12:00:20 AM	3.359001	48	84.31	255
12:00:20 AM	3.412001	48	83.97	255
12:00:20 AM	3.465000	48	83.63	255
12:00:20 AM	3.518000	48	83.29	255
12:00:20 AM	3.568001	48	82.96	255
12:00:20 AM	3.620001	48	82.63	255
12:00:20 AM	3.680000	48	82.31	255
12:00:20 AM	3.734001	48	81.96	255
12:00:20 AM	3.785000	48	81.65	255
12:00:20 AM	3.844999	48	81.34	255
12:00:20 AM	3.895000	48	81.03	255
12:00:20 AM	3.944000	48	80.4	255
12:00:20 AM	3.996000	48	80.1	255
12:00:20 AM	4.056000	48	80.1	255
12:00:20 AM	4.116001	48	79.49	255
12:00:20 AM	4.167999	48	79.49	255
12:00:21 AM	4.218000	48	78.89	255
12:00:21 AM	4.268000	48	78.31	255
12:00:21 AM	4.328001	48	78.04	255
12:00:21 AM	4.385000	48	77.74	255
12:00:21 AM	4.434000	48	77.45	255
12:00:21 AM	4.484001	48	77.18	255
12:00:21 AM	4.547001	48	76.9	255
12:00:21 AM	4.601000	48	76.61	255
12:00:21 AM	4.653999	48	76.36	255
12:00:21 AM	4.704000	48	76.08	255
12:00:21 AM	4.764000	48	75.81	255
12:00:21 AM	4.819000	48	75.53	255
12:00:21 AM	4.868999	48	75.02	255
12:00:21 AM	4.919001	48	74.76	255
12:00:21 AM	4.978001	48	74.5	255
12:00:21 AM	5.028000	48	73.98	255
12:00:21 AM	5.087999	48	73.48	255
12:00:21 AM	5.144001	48	73.23	255
12:00:21 AM	5.195000	48	72.5	255
12:00:22 AM	5.250999	48	72.5	255
12:00:22 AM	5.301001	48	72.25	255
12:00:22 AM	5.361000	48	71.78	255
12:00:22 AM	5.410999	48	71.54	255
12:00:22 AM	5.468000	48	71.07	255
12:00:22 AM	5.518000	48	70.84	255
12:00:22 AM	5.578001	48	70.6	255
12:00:22 AM	5.628000	48	70.14	255
12:00:22 AM	5.677000	48	69.93	255
12:00:22 AM	5.737000	48	69.48	255
12:00:22 AM	5.787001	48	69.04	255
12:00:22 AM	5.847000	48	68.82	255
12:00:22 AM	5.901001	48	68.39	255
12:00:22 AM	5.951000	48	67.95	255
12:00:22 AM	6.000999	48	67.74	255
12:00:22 AM	6.061001	48	67.33	255
12:00:22 AM	6.118000	48	66.91	255
12:00:22 AM	6.167999	48	66.71	255
12:00:23 AM	6.221001	48	66.3	255
12:00:23 AM	6.271000	48	66.1	255
12:00:23 AM	6.330999	48	65.7	255
12:00:23 AM	6.384001	48	65.49	255
12:00:23 AM	6.434000	48	65.29	255
12:00:23 AM	6.493999	48	65.1	255
12:00:23 AM	6.544001	48	64.7	255
12:00:23 AM	6.611000	48	64.33	255
12:00:23 AM	6.660999	48	64.13	255
12:00:23 AM	6.712999	48	63.76	255
12:00:23 AM	6.761000	48	63.57	255
12:00:23 AM	6.818001	48	63.37	255
12:00:23 AM	6.871000	48	63.19	255
12:00:23 AM	6.927999	48	62.83	255
12:00:23 AM	6.984001	48	62.64	255
12:00:23 AM	7.034000	48	62.28	255
12:00:23 AM	7.094000	48	62.1	255
12:00:23 AM	7.144001	48	61.74	255
12:00:23 AM	7.201000	48	61.56	255
12:00:24 AM	7.250999	48	61.2	255
12:00:24 AM	7.311001	48	61.03	255
12:00:24 AM	7.361000	48	60.68	255
12:00:24 AM	7.421000	48	60.51	255
12:00:24 AM	7.471001	48	60.34	255
12:00:24 AM	7.521000	48	60	255
12:00:24 AM	7.578001	48	59.66	255
12:00:24 AM	7.632999	48	59.32	255
12:00:24 AM	7.683001	48	59.16	255
12:00:24 AM	7.734001	48	59	255
12:00:24 AM	7.794001	48	58.67	255
